Date,OPEN,HIGH,LOW,PREV_CLOSE,VOLUME,symbol_name
11/25/2022,2589.00,2624.90,2582.10,2579.10,"33,91,988",RELIANCE
11/24/2022,2566.00,2594.00,2548.20,2557.05,"43,33,225",RELIANCE
11/23/2022,2575.00,2577.90,2552.25,2565.05,"29,59,787",RELIANCE
11/22/2022,2545.00,2568.50,2536.50,2550.90,"30,51,201",RELIANCE
11/21/2022,2588.00,2588.00,2543.10,2597.65,"29,49,108",RELIANCE
11/18/2022,2606.75,2609.00,2571.10,2599.05,"24,47,425",RELIANCE
11/17/2022,2584.95,2613.00,2580.00,2592.35,"30,74,259",RELIANCE
11/16/2022,2610.00,2615.95,2581.35,2607.30,"44,84,007",RELIANCE
11/15/2022,2622.30,2626.40,2590.00,2619.05,"32,70,388",RELIANCE
11/14/2022,2630.75,2642.00,2605.15,2631.80,"41,73,395",RELIANCE
11/11/2022,2600.00,2636.00,2588.00,2572.50,"56,81,124",RELIANCE
11/10/2022,2590.00,2596.55,2563.00,2604.00,"27,53,420",RELIANCE
11/9/2022,2610.30,2621.95,2590.05,2606.60,"51,93,814",RELIANCE
11/7/2022,2591.00,2610.30,2574.00,2592.75,"54,40,967",RELIANCE
11/4/2022,2553.90,2600.00,2551.10,2555.15,"58,03,737",RELIANCE
11/3/2022,2529.85,2559.55,2525.05,2545.65,"30,89,026",RELIANCE
11/2/2022,2532.30,2550.20,2515.00,2529.85,"41,45,144",RELIANCE
11/1/2022,2600.00,2600.00,2508.00,2549.60,"64,43,999",RELIANCE
10/31/2022,2541.00,2560.95,2532.20,2526.15,"57,31,802",RELIANCE
10/28/2022,2465.00,2535.00,2459.45,2451.15,"81,26,824",RELIANCE
10/27/2022,2458.00,2468.45,2432.80,2441.55,"57,74,775",RELIANCE
10/25/2022,2499.00,2499.00,2438.00,2479.85,"56,45,639",RELIANCE
10/24/2022,2460.00,2502.50,2455.30,2471.60,"15,55,270",RELIANCE
10/21/2022,2507.70,2516.80,2467.00,2500.60,"38,04,352",RELIANCE
10/20/2022,2485.00,2519.00,2485.00,2493.90,"40,22,919",RELIANCE
10/19/2022,2454.50,2527.85,2441.70,2451.25,"88,82,553",RELIANCE
10/18/2022,2422.00,2463.00,2420.15,2408.75,"57,29,899",RELIANCE
10/17/2022,2355.00,2414.00,2343.60,2370.70,"77,20,595",RELIANCE
10/14/2022,2415.00,2416.35,2369.10,2382.80,"42,02,459",RELIANCE
10/13/2022,2371.40,2394.00,2360.10,2375.25,"33,82,098",RELIANCE
10/12/2022,2352.00,2381.70,2343.10,2357.90,"34,22,992",RELIANCE
10/11/2022,2414.00,2414.00,2351.10,2405.80,"42,52,803",RELIANCE
10/10/2022,2405.00,2417.60,2388.00,2432.35,"29,21,076",RELIANCE
10/7/2022,2414.65,2443.90,2414.65,2422.10,"35,60,167",RELIANCE
10/6/2022,2429.00,2450.00,2418.15,2413.20,"61,62,021",RELIANCE
10/4/2022,2397.80,2418.00,2390.15,2369.50,"41,29,893",RELIANCE
10/3/2022,2391.50,2416.95,2363.00,2377.75,"54,70,030",RELIANCE
9/30/2022,2311.00,2402.00,2311.00,2325.30,"85,89,908",RELIANCE
9/29/2022,2360.00,2367.50,2313.00,2332.45,"67,71,046",RELIANCE
9/28/2022,2360.35,2378.00,2327.10,2396.25,"78,44,140",RELIANCE
9/27/2022,2394.00,2426.00,2360.10,2377.35,"74,55,448",RELIANCE
9/26/2022,2394.05,2417.80,2375.15,2439.50,"57,59,298",RELIANCE
9/23/2022,2485.00,2495.95,2436.10,2486.10,"43,97,194",RELIANCE
9/22/2022,2486.00,2503.00,2472.10,2509.75,"47,57,219",RELIANCE
9/21/2022,2496.75,2533.00,2495.00,2502.85,"42,49,172",RELIANCE
9/20/2022,2522.45,2537.70,2494.70,2502.45,"38,81,882",RELIANCE
9/19/2022,2499.20,2522.70,2481.35,2499.20,"34,98,286",RELIANCE
9/16/2022,2543.75,2553.00,2491.00,2562.70,"93,30,469",RELIANCE
9/15/2022,2583.00,2603.55,2556.75,2588.35,"47,83,723",RELIANCE
9/14/2022,2575.00,2610.00,2572.75,2619.75,"40,04,997",RELIANCE
9/13/2022,2618.00,2629.70,2601.00,2598.05,"41,02,114",RELIANCE
9/12/2022,2570.55,2612.00,2570.55,2569.30,"34,31,445",RELIANCE
9/9/2022,2610.00,2610.00,2564.00,2585.40,"38,37,302",RELIANCE
9/8/2022,2588.25,2598.00,2571.00,2581.75,"32,56,840",RELIANCE
9/7/2022,2575.00,2594.90,2570.00,2596.85,"34,55,942",RELIANCE
9/6/2022,2573.00,2606.00,2572.00,2569.80,"50,30,172",RELIANCE
9/5/2022,2531.00,2581.50,2531.00,2530.50,"52,27,785",RELIANCE
9/2/2022,2560.40,2575.35,2525.70,2560.40,"59,99,196",RELIANCE
9/1/2022,2582.65,2604.95,2550.70,2637.95,"91,88,434",RELIANCE
8/30/2022,2614.00,2645.25,2576.60,2597.65,"1,06,78,670",RELIANCE
8/29/2022,2585.00,2655.00,2578.05,2618.00,"91,55,684",RELIANCE
8/26/2022,2633.00,2650.00,2607.00,2632.05,"49,57,449",RELIANCE
